id_alumno,clase_id,nombre,email
0,1,Jafet Casals,Jafet_Casals@gmail.com
1,1,Jorge Manzanares,Jorge_Manzanares@gmail.com
2,1,Onofre Adadia,Onofre_Adadia@gmail.com
3,1,Merche Prada,Merche_Prada@gmail.com
4,1,Pilar Abella,Pilar_Abella@gmail.com
5,1,Leoncio Tena,Leoncio_Tena@gmail.com
6,1,Odalys Torrijos,Odalys_Torrijos@gmail.com
7,1,Eduardo Caparrós,Eduardo_Caparrós@gmail.com
8,1,Ignacio Goicoechea,Ignacio_Goicoechea@gmail.com
9,1,Clementina Santos,Clementina_Santos@gmail.com
10,1,Daniela Falcó,Daniela_Falcó@gmail.com
11,1,Abraham Vélez,Abraham_Vélez@gmail.com
12,1,Maximiliano Menéndez,Maximiliano_Menéndez@gmail.com
13,1,Anita Heredia,Anita_Heredia@gmail.com
14,1,Eli Casas,Eli_Casas@gmail.com
15,2,Guillermo Borrego,Guillermo_Borrego@gmail.com
16,2,Sergio Aguirre,Sergio_Aguirre@gmail.com
17,2,Carlito Carrión,Carlito_Carrión@gmail.com
18,2,Haydée Figueroa,Haydée_Figueroa@gmail.com
19,2,Chita Mancebo,Chita_Mancebo@gmail.com
20,2,Joaquina Asensio,Joaquina_Asensio@gmail.com
21,2,Cristian Sarabia,Cristian_Sarabia@gmail.com
22,2,Isabel Ibáñez,Isabel_Ibáñez@gmail.com
23,2,Desiderio Jordá,Desiderio_Jordá@gmail.com
24,2,Rosalina Llanos,Rosalina_Llanos@gmail.com
25,3,Amor Larrañaga,Amor_Larrañaga@gmail.com
26,3,Teodoro Alberola,Teodoro_Alberola@gmail.com
27,3,Cleto Plana,Cleto_Plana@gmail.com
28,3,Aitana Sebastián,Aitana_Sebastián@gmail.com
29,3,Dolores Valbuena,Dolores_Valbuena@gmail.com
30,3,Julie Ferrer,Julie_Ferrer@gmail.com
31,3,Mireia Cabañas,Mireia_Cabañas@gmail.com
32,3,Flavia Amador,Flavia_Amador@gmail.com
33,3,Albino Macias,Albino_Macias@gmail.com
34,3,Ester Sánchez,Ester_Sánchez@gmail.com
35,3,Luis Miguel Galvez,Luis_Miguel_Galvez@gmail.com
36,3,Loida Arellano,Loida_Arellano@gmail.com
37,3,Heraclio Duque,Heraclio_Duque@gmail.com
38,3,Herberto Figueras,Herberto_Figueras@gmail.com
39,4,Teresa Laguna,Teresa_Laguna@gmail.com
40,4,Estrella Murillo,Estrella_Murillo@gmail.com
41,4,Ernesto Uriarte,Ernesto_Uriarte@gmail.com
42,4,Daniela Guitart,Daniela_Guitart@gmail.com
43,4,Timoteo Trillo,Timoteo_Trillo@gmail.com
44,4,Ricarda Tovar,Ricarda_Tovar@gmail.com
45,4,Alejandra Vilaplana,Alejandra_Vilaplana@gmail.com
46,4,Daniel Rosselló,Daniel_Rosselló@gmail.com
47,4,Rita Olivares,Rita_Olivares@gmail.com
48,4,Cleto Montes,Cleto_Montes@gmail.com
49,4,Marino Castilla,Marino_Castilla@gmail.com
50,4,Estefanía Valcárcel,Estefanía_Valcárcel@gmail.com
51,4,Noemí Vilanova,Noemí_Vilanova@gmail.com
