Nombre;Rol;Vertical;Promocion;Campus;Modalidad
Noa Yáñez;TA;DS;Septiembre;Madrid;Presencial
Saturnina Benitez;TA;DS;Septiembre;Madrid;Presencial
Anna Feliu;TA;FS;Septiembre;Madrid;Presencial
Rosalva Ayuso;TA;FS;Septiembre;Valencia;Presencial
Ana Sofía Ferrer;TA;FS;Febrero;Valencia;Presencial
Angélica Corral;TA;FS;Febrero;Madrid;Presencial
Ariel Lledó;TA;DS;Septiembre;Madrid;Presencial
Mario Prats;LI;FS;Febrero;Valencia;Online
Luis Ángel Suárez;LI;FS;Septiembre;Madrid;Online
María Dolores Diaz;LI;DS;Septiembre;Madrid;Online
